word,definition
STAGIONE LIRICA,È dedicata all'opera
MINATORE CONTINUO,Una macchina con testata scavatrice
TARGET,L'obiettivo da raggiungere dei commerciali
ROCCIA,Può essere metamorfica
STONEHENGE,La località inglese con un imponente complesso megalitico
SEGHETTE,Servono per tagliare le fiale di medicinali
DITO DI CAPRIVI,Territorio della Namibia tra l'Angola e il Botswana
TRIAS,Precedette il Giurassico
TRANCE,Il sonno ipnotico del medium
TRANCE,Vi cade il medium
TRANCE,Il sonno imposto dal medium
CARTAMODELLO,Si usa per tagliare i vestiti
CESOISTA,Operaio che taglia lamiere
ALBERGO,Una residenza per chi viaggia
TG,I notiziari della tivù
BRAND,Il marchio in pubblicità
MARISA,La Laurito attrice
PERSIA,Vi regnava Serse
LOTTO,Il gioco con le ruote
ANCORA,Pende da una catena
APOCALISSE,Il libro profetico del Nuovo Testamento
AMPELOLOGIA,Lo studio della vite e della sua coltivazione
MOTOZAPPA,Macchina agricola da orti
TRATTORE,Tira l'aratro
VINAIO,Oste
TRATTORE,Va e viene sui campi
TORNIO,Una macchina per lavorare pezzi
ISBA,Una casa agricola russa
KO,Una netta vittoria del pugile
LINEETTA,Si scrive andando a capo
TRATTINO,Lineetta
TRATTINI,Brevi segni grafici
TRATTENIMENTO,"Festa, ricevimento"
TRATTEGGIARE,Delineare... sommariamente
TRATTATIVA,La conduce il commerciante
VINAI,Tagliano con l'acqua
RUMINE,Nello stomaco dei bovini
CARBONCHIO,Malattia che i bovini possono trasmettere all'uomo
RULLINI,Si inseriscono nelle macchine fotografiche analogiche
CEDUI,I boschi che si tagliano
BOARIO,Il foro romano destinato al mercato dei bovini
ALLERGIA,Un'affezione come il raffreddore da fieno
UN GIORNO DI REGNO,Un'opera buffa di Verdi
GUERRA ITALO TURCA,La combattemmo contro gli Ottomani nel 1911 e '12
FARANDOLA,Danza popolare provenzale
BAZAR,Vi trovi ogni cianfrusaglia
RARA,Così è la mosca bianca
PIANTA,Un disegno della casa
TAGLIAPOGGIO,Un sistema di terrazzamento collinare
CENSORE,Poteva tagliare i film
SEGA CIRCOLARE,Macchina dei mobilifici
SORBA,Frutto maturato nella paglia
ASINO,L'__ di Buridano: muore di fame perché non sa quale scegliere fra due mucchi uguali di fieno
CARUSO,"Enrico __, storico tenore"
PLACET,Il consenso dell'autorità civile a una disposizione
REAL MADRID,L'undici spagnolo in cui giocano le merengues
CHIANTI,Il vino simboleggiato dal gallo nero
INSULTARE,Prendere a male parole
NOTARILI,Gli studi in cui si effettuano rogiti
ISOLATORE,Regge un filo elettrico
CARDIOVERSIONE,Piccolo choc elettrico per curare le aritmie
RUTTORE,Apre automaticamente il circuito elettrico
BARBA,Una peluria noiosa
BARBA,"Chi se la fa, usa lo specchio"
BARBA,Può essere sinonimo di noia
MODULATORE,Congegno mediante il quale è possibile regolare un segnale elettrico
GIORNALI,Escono ogni mattina
RADI E GETTA,Un rasoio da buttare
LAZZARO,L'uomo resuscitato da Gesù
ECCEZIONALE,"Straordinario, speciale"
IMPOSSIBILE,"Irrealizzabile, infinitamente complicato"
GIALLO,Il colore caratteristico dei Simpson
PREGO,Si dice in risposta al grazie
BORDI,"Margini, orli"
MINIMAL ART,La corrente artistica seguita dallo scultore Sol LeWitt
VEDUTISMO,La corrente di cui Canaletto fu un esponente
SEURAT,Creò insieme con Signac la corrente del pointillisme
DINAMO,Una macchina elettrica
DINAMO,Un generatore di corrente
ALTERNATORE,Macchina delle centrali idroelettriche
SEMICONDUTTORI,Trasmettono parzialmente la corrente elettrica
AMPEX,Una macchina per la registrazione magnetica
KEBAB,È cotto su uno spiedo verticale rotante
ISTAMINA,Una sostanza che genera manifestazioni allergiche
ALLUNGO,Passaggio in profondità del calciatore
ALLUNGO,Affondo portato al massimo
ALLUNGO,Uno scatto del ciclista
ALLENATE,Addestrate per una competizione
TRAMATO,Ordito nell'ombra
TOTALITARIO,Lo è il regime che non ammette opposizione
VAQUERO,Un collega del gaucho
RAGNOLA,Fine rete da uccellagione
FAZENDA,L'azienda agricola del Brasile
BESTIE,Gli animali... presenti nelle aziende agricole
BESTIE,Quelle di satana commisero omicidi in Lombardia
BESTIE,Quelle da soma non sono feroci
ETTARI,"Più sono, più una tenuta agricola è vasta"
GIRAFFE,Animali dal lunghissimo collo
QUADRI,I dirigenti dell'azienda
VANITÀ,Il difetto che induce a pavoneggiarsi
PONTI,Li applica il dentista
COLONIA,La città che ci ricorda un'acqua profumata
STEREOTIPIA,Una lastra per rotative
ALDONZA,Il vero nome di Dulcinea
SAN,Una s. nel calendario
RANGHINATORE,La macchina agricola per voltare e rastrellare il fieno
GUERRA DEL VESPRO,Si concluse nel 1302 con la pace di Caltabellotta
GREPPIA,Rastrelliera sopra la mangiatoia
GREPPIA,Mangiatoia della stalla
GREPPIA,La mangiatoia nella stalla
PORTAPIPE,Rastrelliera per fumatori
LETAMAI,Sono attigui alle stalle
BURIDANO,Il filosofo che ci ricorda la storia dell'asino indeciso tra due mucchi di fieno uguali
UGONOTTI,I Calvinisti francesi trucidati la notte di San Bartolomeo
UGONOTTI,Furono trucidati la notte di san Bartolomeo
ISTAMINA,Sostanza attiva tessutale
SAGA,La storia d'una famiglia
TOP,È il massimo della gamma
ACTION PAINTING,"Il caratteristico stile di Jackson Pollock, il grande pittore statunitense"
INGRES,Dipinse La grande odalisca
KATIUSCIA,L'eroina di Resurrezione
SEBASTIANO DEL PIOMBO,Lo pseudonimo del pittore veneziano Luciani
FIORITURA,La resurrezione... primaverile
DAVIDE,Il re celebre per i salmi
ANTONELLO DA MESSINA,Pittore del '400 che dipinse il San Gerolamo nello studio
BIOLOGO,Lo fu lo studioso Lazzaro Spallanzani
TRENO,Un'alternativa all'automobile
TIR,La domenica non possono girare in autostrada
GESÙ,Apparve alle pie donne
FRED,"__ Perry, diffusa marca di polo"
SCAPOLARI,Le strisce di stoffa dei frati con il buco per la testa
CERCINI,Ciambelle di stoffa che s'usavano per portare pesi in testa
COPRICAPO,Si può dire per cappello
COPRICAPO,Un altro frequente modo di chiamare il cappello
COPRICAPO,Quello più vistoso è il sombrero
ROSA,La maglia di chi è in testa al Giro d'Italia
RICAMO,Disegno fatto con un filo
RAME,È CU per il chimico
PACCHI,Involti confezionati
INCEPPARSI,Bloccarsi per difetto di funzionamento
TETTO,Fa da soffitto alla soffitta
VESPAI,Le camere d'aria sotto i pavimenti
ATTORI,Lavorano sotto mentite spoglie
LAMELLE,Le frange sotto il cappello dei funghi
BRINA,Fa bianche le foglie
BRINA,Biancheggia nei campi
BRINA,Imbianca le foglie come la neve
IRRORATO,Bagnato di rugiada
CARIATIDE,Una statua femminile posta sotto l'architrave
TORRI GEMELLE,Sorgevano su Ground Zero
MOSÈ,Ricevette da Dio le Tavole della Legge
BOLLENTE,Lo è l'acqua a cento gradi
SFACELI,Complete rovine
MONOCORDO,Un antico strumento musicale
ORGANO,Si suona con le mani e con i piedi
CHITARRONI,Arciliuti in voga nel '600
STRATOCASTER,Storica chitarra della Fender
LIUTO,Lo suonava il trovatore
TIORBA,Un'antica chitarra
LIUTO,L'antica chitarra dei trovatori
ONE STEP,Assomigliava alla polca
SITAR,La chitarra indiana
BLOCCAPEDALI,Un antifurto che si applica al freno e alla frizione
BATEAU MOUCHE,Il tipico battello sulla Senna
INTERROGATORIO,La torchiatura dell'indagato
METALMECCANICO,Un operaio degli stabilimenti automobilistici
PIGAFETTA,Accompagnò Magellano nel primo viaggio di circumnavigazione
GRAND TOUR,Il viaggio che gli artisti facevano nell'Italia dell'800
PERIPLO,Viaggio di circumnavigazione
CIRCUMNAVIGAZIONE,Un viaggio attorno al mondo
GRAHAM,__ Greene: scrisse il romanzo In viaggio con la zia
SATELLITE ASTEROIDALE,Una piccola luna che gravita intorno ad un planetoide
OMS,Segue la sanità nel mondo
MUSO,Lo ha lungo chi è imbronciato
PESCA,Si può praticare alla traina
UE,È formata da 28 Paesi
FRITTELLE,Si mangiano a carnevale
CIOCIA,Era la calzatura tipica dei pastori laziali
FANTACALCIO,Il gioco in cui si disputa un campionato virtuale
GOL,Una... rete inglese
EGOSURFING,La ricerca di quante volte si è citati in Internet
RICETTE,A volte si fa fatica a decifrarle
GIOLITTI,Il Giovanni più volte Primo Ministro fra '800 e '900
GOL,Un punto che può valerne tre
GOL,Palla in rete!
GOL,Si segna con un calcio
PATTARE,Non vincere la partita... ma nemmeno perderla
INFEZIONE,Per prenderla basta una ferita
RIMEDIO,Alle volte è peggiore del male
PINO,Un albero a ombrello
DROMEDARIO,Un quadrupede della carovana
MACCHERONI,Sono gustosi quelli alla chitarra
CANORI,Dotati di una bella voce
DIRIGIBILISTI,Pilotavano gli Zeppelin
EFFE,Indica il grado Fahrenheit
FUJITA,La sua scala misura l'intensità dei tornado
PIRELIOMETRO,Misura la quantità d'energia solare sulla Terra
ANGSTROM,Unità di misura per lunghezze d'onda nei raggi luminosi
METRAGGI,Le lunghezze dei tessuti
SARTI,Tagliano su misura
METRO,Unità di lunghezza
CRESTA,La sommità dell'onda
ALEARDI,"Aleardo __, poeta romantico e politico dell'800"
TENENTE COLOMBO,L'ha impersonato Peter Falk in tanti telefilm
ANG,"__ Lee, regista di Hulk"
ALPE DELLA LUNA,Gruppo dell'Appennino tosco-romagnolo
WILD,È selvaggio negli USA
DOS,"__ Passos, Il 42° parallelo"
EINSTEIN,Enunciò la formula E=mc²
MASSIMO COMUN DIVISORE,Si cerca in aritmetica
CRISTIANIA,L'antico nome di Oslo
GOTI,Un antico popolo germanico
ABACO,Una tavoletta... calcolatrice
ABACO,Nomogramma
ABACO,Parte superiore del capitello
BARBERA,Un antico vitigno autoctono del Piemonte
SUB,Amano immergersi
MAESTRIA,La perizia dei più abili
ODER,Fiume che scorre in Polonia
ECUBA,La sposa di Priamo
EVINCERE,Trarre come deduzione
ADE,L'inferno di Plutone
DIOSCORIDE,Il medico greco che compilò un erbario usato per secoli
LESENA,Un pilastro ornamentale
UVA SPINA,È una pianta affine al ribes
ACANTO,Orna il capitello corinzio
ACANTO,Pianta erbacea perenne
ACANTO,Pianta erbacea
GLADIOLO,Un fiore
DALIA,Un bellissimo fiore
DALIA,Un fiore senza profumo
CLEMATIDE,Rampicante ornamentale dai fiori privi di corolla
ARABESCO,Fregio ornamentale
AZALEA,Bella pianta da ornamento
ERBARIO,Una collezione botanica
GESTORI,Guidano aziende di altri
GESTORI,Conduttori di negozi
GESTORI,Dirigono negozi
COVARE,Verbo coniugato da uccelli
CESTINO,Contenitore da picnic
CARTAI,Hanno gli editori come clienti
PASTA,Si dice d'uomo buono come il pane
DIAMINE,Lo dice l'impaziente
ORNATA,Si dice di prosa elegante
CALCOLATRICE,Una macchina per il contabile
MOINA,Carezza civettuola e interessata
LAMA,È proverbialmente fredda
POTERE,Si dice logori chi non ce l'ha
RUM,È rinomato quello della Giamaica
API,O sono regine o sono operaie
TENNISTA,Lo sportivo che gioca a Wimbledon
SMARGIASSO,Esagera per farsi bello
SETTENARIO,Il verso della metrica come... Ei fu. Siccome immobile
GARZONI,I ragazzi delle macellerie
FRED,L'antenato dei cartoni marito di Wilma
VIOLONE,Lo strumento che fu l'antenato del contrabbasso
ARCHIBUGIO,Il pesante antenato del fucile
ABACO,È fra la colonna e l'architrave
ABACO,Strumento per eseguire calcoli
ABACO,Sovrasta il capitello
CAFÉ CHANTANT,L'antenato parigino dei cabaret e del varietà
BOCCASCENA,L'apertura del palcoscenico
ABACHI,Si usavano un tempo per far di conto
ABACHI,Antichi pallottolieri
ABACHI,Servivano per eseguire operazioni aritmetiche
FORLÌ,L'attuale Forum Livii
CASTEL SANT'ANGELO,L'attuale Mole Adriana
ORANGE NASSAU,L'attuale dinastia regnante nei Paesi Bassi
MODERNA,Lo è la storia dell'800
MODERNA,"Adeguata ai tempi, odierna"
MODERNA,Lo è la storia tra la medievale e la contemporanea
SARTA,È sempre aggiornata in fatto di moda
JOE BIDEN,L'attuale presidente degli Stati Uniti
MAIONESE,La salsa gialla per l'insalata russa
EVITA,Fu la moglie di Perón
UGOLA,Sta in bocca ma non si inghiotte
LANGUORE,Prende lo stomaco quando si ha appetito
OTTAVE,Suddividono la tastiera del pianoforte
JONES,Il Dow indice di Wall Street
WILDER,Diresse Viale del tramonto
PLAYMAKER,Il regista nella pallacanestro
IVORY,Il regista di Casa Howard
CUT,Il taglio... degli Inglesi
SUNTO,Succinta versione
ART,Il director fra i pubblicitari
OLMI,L'Ermanno celebre regista
DIGESTO,La raccolta delle leggi voluta da Giustiniano
MARTINO QUINTO,Il Papa la cui elezione pose fine allo Scisma d'Occidente
EDITTO PERPETUO,La raccolta di leggi romane dell'imperatore Adriano
VAL,Nella Gardena c'è Ortisei
CONOSCI TE STESSO,Il motto di Socrate
SEAT,Marchio d'auto spagnolo
PAPPAFICO,Una vela dell'albero di trinchetto
ABOMINEVOLE UOMO DELLE NEVI,"Il nome con cui è anche conosciuto lo Yeti, il leggendario essere dell'Himalaia"
NEGRAMARO,Ottimo vino rosso pugliese
PROXIMA CENTAURI,La stella più vicina al Sistema solare
PRESTIGIATORE,Tiene un coniglio nel cilindro
PRESTIGIATORE,E bravo se sa ingannare il pubblico
PRESTIGIATORE,È abile nei trucchi
POPOLARE,Conosciuto da tutti
PRESTIDIGITATORI,Colleghi di Silvan
BRUT,Uno spumante molto secco
AMATO,"Benvoluto, molto caro al cuore"
TIRTAICI,Relativi all'opera di un famoso poeta greco del VII secolo a.C.
CRAIG,Daniel del film Skyfall
INTER,La squadra allenata da Simone Inzaghi
PICCINE,Piccole o umili
ACAZIO,Antica imbarcazione greca
CANORI,Lo sono molti uccelletti
CAPITALE SOCIALE,È rappresentato da azioni
CANOE,Imbarcazioni da Pellirosse
CANOE,Leggeri natanti
CANOE,Hanno due prue
CASSETTI,Si spingono per chiuderli
CANOA,È mossa da pagaie
SCARPETTA,Si fa nel piatto con un pezzetto di pane
CONNESSI,Strettamente congiunti
INDETTE,Stabilite pubblicamente e d'autorità
PIER,Il delle Vigne dantesco
SEGNI DIACRITICI,Lo sono i due punti su certe vocali tedesche
AGREEMENT,Un accordo tra gentlemen
NEMORINO,Personaggio donizettiano
NEIN,Il contrario di Ja!
NEIN,Il rifiuto dei Tedeschi
NEIN,Il no del cancelliere Scholz
ASSIA,La regione d'una Francoforte
NEIN,Il no dei Tedeschi
INA,"Il nome della Seidel, autrice del romanzo Il labirinto"
AONI,Antichi abitanti della Beozia
VISCOSITÀ,Rende più o meno scorrevoli i fluidi
MATELICA,Cittadina del Maceratese che dà nome a un Verdicchio
IESINO,Il territorio marchigiano in cui si produce un Verdicchio
ISONZO,Il fiume delle dodici battaglie
STENELLA,Comune genere di delfini
TREIA,Un pittoresco borgo del Maceratese
VERGA D'ORO,"Una pianta dai fiori gialli, comune nei boschi"
ROCCE SEDIMENTARIE,Si formano per accumulo di materiali detritici o per deposito chimico
DELGADO,Il Capo africano al confine tra Tanzania e Mozambico
GIASONE,Il capo degli Argonauti
PALINURO,Un incantevole capo del Cilento
RAIS,Dà ordini nella tonnara
RAIS,Comandava nella tonnara
RAIS,Dà ordini durante la mattanza
RAIS,Il capo della tonnara
SÌ,Un significativo cenno del capo
LOTUS,Era un'auto inglese di F.1
LARINGE,La sede della voce
ESOCRINE,Le ghiandole a secrezione esterna
INSIGNE,"Lorenzo, attaccante del Napoli e della Nazionale"
PAVIA,Città bagnata dal Ticino
SCATENIO,Rumore continuo di anelli
PANDOLCE,Specialità natalizia ligure
MELANGOLO,Dà arance amare
CIOCCOLATO BIANCO,È candido in tavolette
TAGLIATELLE,Sono squisite alla bolognese
BENVOLERE,Amare e stimare
CORAZZIERI,Fanno la guardia al Quirinale
SAM,Il nome del sassofonista jazz Rivers
SISTEMA PERIODICO,Quello degli elementi è dovuto a Mendeleev
ARENA,Vasto teatro all'aperto
ALÉ,Si grida al ciclista
VI,Il Giorgio padre di Elisabetta
ROMOLO,Tracciò il famoso solco quadrato
DECORRERE,"Cominciare ad aver effetto, detto di leggi"
IPPOCRATE,Lo studioso greco che fu detto il padre della medicina
GIGANTE GASSOSO,Così è detto un pianeta come Giove o Saturno
ANTRACE,È causata dal carbonchio
ANTRACE,La lesione causata dal carbonchio
ANTRACE,La lesione provocata dal carbonchio
ANTRACE,La rara e grave infezione batterica detta carbonchio
BASTIMENTO,È detto più comunemente nave
SANO,Sta bene anche se è povero
PIOVIGGINE,Leggera acquerugiola
MARZO,Il mese... pazzo
LEGIONARI,I soldati di Cesare
VIRARE,Deviare navigando
SMANIARE,Struggersi dal desiderio
NOMINARE,Eleggere o citare
SFIGMOMANOMETRO,Apparecchiatura per misurare la pressione sanguigna
SEQUENZIALE,Il cambio delle auto di F.1
EUR,Sigla da listini di cambio
MIGLIORAMENTO,Fa sperare nella guarigione
VARIATORE,Il cambio automatico di molti scooter e motorini
FORTUNA,Proverbialmente aiuta gli audaci
RI,Scritte in aria
SINDROME,__ di Stendhal: il turbamento che prende al cospetto di capolavori dell'arte
CIASPOLARE,Passeggiare sulla neve con le racchette
ASSUAN,Una grande città sul Nilo
GOMMALACCA,Una plastica naturale
AMARO,Il significato di bitter
MASTRO,Il Geppetto personaggio di Collodi
NAGASAKI,Fu distrutta dalla seconda bomba atomica
CARTA D'IMBARCO,Si consegna al momento di salire sull'aereo
SACCARDO,Negli eserciti feudali portava bagagli e cibarie
ALLEGRA,La gente che il ciel aiuta
TAPIS ROULANT,Si snoda tra i viaggiatori che aspettano i bagagli
TAPIS ROULANT,Nei grandi aeroporti alleggeriscono il cammino dei viaggiatori
TAPIS ROULANT,Facilita la consegna dei bagagli all'aeroporto
VALIGIA,La consegna chi prende l'aereo
TRASPORTATORE,Il nastro all'aeroporto che consegna i bagagli
ETC,Aiuta a tagliar corto (abbrev.)
UNANIME,Sancito da un plebiscito
ISPIRATO,L'artista lo è dalle muse
ELMETTI,Copricapi di guerra
DIABOLICO,Degno... di Belzebù
USO,"Per essere pratico, deve essere facile"
DON CARLOS,Nota opera verdiana
SAN SEBASTIANO,Il martire cristiano ucciso a colpi di frecce
ATENAGORA,Un filosofo cristiano di Atene del secolo II d.C.
CIRANO DI BERGERAC,Un famoso spadaccino
TAMERLANO,Morì prima di riuscire a conquistare la Cina
PROTESTANTE,Un cristiano non cattolico
CIRANO,Ama in segreto Rossana
VOLONTÀ,Aiuta a riuscire
RITI,Le norme che regolano le funzioni religiose
CINTO,"Fasciato, avvolto"
BERSAGLIO,È preso di mira nel poligono
TURARE,Riparare una falla
TIRACCIO,Una stecca... del calciatore
PALIO DEL SARACINO,Si disputa nella Piazza Grande di Arezzo
MANDATARI,Agiscono per conto di altri
TERZISTA,Lavora per conto di altri
RENDITA,Aiuta a viver bene
COMPLESSO,Quello d'inferiorità può impedire di far strada
CALCOLATORI,Tipi freddi ed interessati
CALCO,Lo si prende per rispettare l'originale
CALCO,Una riproduzione in gesso
CALCIO,Lo sport preferito dagli italiani
CALCETTO,Si gioca cinque contro cinque
CALATO,"Diminuito, mandato giù"
RIS,La Scientifica dei Carabinieri (sigla)
MOLLA ANTAGONISTA,In certi meccanismi svolge funzioni di controllo
POLINOMI,Le espressioni matematiche con termini numerici e letterali
IMPRONTA,La rileva la Polizia Scientifica
MAGISTRATURA,Il complesso degli organi che esercitano le funzioni giurisdizionali
SERIAL,Un tipo di telefilm che prosegue per diverse puntate
CALCIATORI,Giocano a football
CALCIATORE,Atleta che pratica un seguitissimo sport
DIOFANTO,Il greco detto il padre dell'algebra (sec. III-IV d.C.)
PRESA DIRETTA,La tecnica che evita il doppiaggio dei film
ASCENSORE,Evita di far le scale
PRESINA,Evita di scottarsi in cucina
CONCILI,Li tengono i vescovi
COATTO,Un domicilio imposto dal giudice
TERZA,La sinfonia Eroica di Beethoven
UVA PASSA,Ha piccoli acini rinsecchiti
ACQUEI,I bacini come le lagune
TELECOMANDO,Si usa per non alzarsi
BIATHLON,La gara sciistica di fondo e di tiro
MOEBIUS,Matematico tedesco che diede nome al nastro non orientabile
PRESALARI,"In diversi Paesi, aiutano gli studenti universitari"
CARTASTRACCIA,È usata per fare pacchi
CALCOLATRICI,Macchinette con i tasti numerati
MANUTENGOLI,Aiutano in azioni furfantesche
REVISORI,Controllano i conti
SCAVARE,Fare una fossa
SOSPIRI,Li tira l'innamorato
CERALACCA,Sigillava i documenti
GIUDICE ISTRUTTORE,Prepara il processo
MITRAGLIATORE,Un fucile che spazza via
TETRODO,Una valvola elettronica
COMPORRE,"Disporre, ordinare"
MAREA,Sposta il livello dell'acqua due volte al giorno
CATAPULTE,I dispositivi che agevolano il decollo dalla portaerei
MAREA,L'alta aiuta a disincagliare la barca
MAREA,La bassa fa affiorare i banchi
MAREA,Va su e giù durante il giorno (ma non è la pressione)
ALTA MAREA,Può disincagliare una nave
MONETINA,Aiuta nella scelta del campo
DIOR,Il Christian dell'alta moda
FONTANA,All'Aquila c'è quella delle 99 cannelle
DRACMA,Una moneta ante euro
INIETTORI,Hanno sostituito i carburatori
CERAN,La Mia conduttrice televisiva
OPERAZIONI,Le eseguono le calcolatrici
INCONVENIENTE,"Contrattempo, ostacolo"
SCHERMO PIATTO,Lo hanno i televisori non bombati
COSETTA,La piccola adottata da Jean Valjean
OPERA VIVA,La parte d'uno scafo che resta sempre immersa
TIMONIERE,Non sempre lo è lo skipper
EGOLALIA,La tendenza a parlare sempre di sé stessi
COSETTA,L'alleva Jean Valjean
COSETTA,La figlia adottiva di Jean Valjean
COSETTA,La adotta Jean Valjean
ARRIVARE CON L'ULTIMO TRENO,Comprendere in ritardo... con un modo di dire
NEGOZIO,Quasi sempre ha la vetrina
CALENDARI,Si consultano nel fare programmi
LEI,Ella
ERETICO,Un nemico della Chiesa
PAPERISSIMA,Divertente trasmissione mandata in onda da Mediaset
ORTOTTERI,Gli insetti come i grilli
CARVALHO,Il Pepe di Manuel Vázquez Montalbán
API,Sono attratte dal nettare
LA SCUOLA DEGLI AMANTI,Il sottotitolo dell'opera Così fan tutte di Mozart
WOODSTOCK,Ospitò nel 1969 un grande festival di musica rock
CLASSICISSIMA,Così è detta la gara ciclistica Milano-Sanremo
ITALIANA,La Svizzera con Lugano
ITALIANA,La lingua che ci è cara
ITALIANA,La canzone dei nostri Festival
CANORO,Un attributo abbinato al Festival di Sanremo
BAUDO,Pippo __: ha condotto 13 Festival di Sanremo
NUVOLARI,Il Tazio di una famosa canzone di Dalla
BOCCALE,Un bicchiere per la birra
CASTRO,L'accampamento militare degli antichi Romani
DECORO,Manca a chi è sciatto
CUPOLE,Coperture di molte chiese
CRIPTOVALUTA,Una moneta come i bitcoin
EUR,Sigla da moneta internazionale
TALLERO,Storica moneta europea
YUAN,La moneta cinese
LIRA,Una moneta finita nell'euro
XI,Il Jinping che guida la Cina
WATT,Unità di misura della potenza
PACA,Roditore del Sudamerica
ORATE,Squisiti pesci marini
MAJORETTE,La ragazza con mazza e tamburo nelle sfilate folcloristiche
COSINI,Lo Zeno di Italo Svevo
COVENT GARDEN,Celebre teatro di Londra
CORTEI,Sfilano lungo le strade
CORTEI,Sfilano lentamente
CORTEI,Sfilano lentamente per le vie
SLOGAN,Li scandiscono i manifestanti
FASHION WEEK,L'animata settimana milanese dedicata alle sfilate
METODO,Il sistema che si adotta
SHUTTLE,La navetta spaziale USA
TRANS,"Oltre, al di là nei prefissi"
SCIANCRATO,Che si restringe in vita
ASTROBIOLOGIA,La scienza che ricerca l'origine della vita nello spazio
BIO,L'agricoltura che non impiega additivi chimici
BIO,Un prefisso di vita
BIO,L'agricoltura più sana
MIO,Il muscolo nei prefissi
CALDERÓN,"__ de la Barca, l'autore de La vita è sogno"
PULSANTE,Si preme nei telequiz
CAST,Lo sceglie il regista
LONG,Un drink come il gin and tonic
IRONIA,"Più è amara, più ferisce"
ISEO,Fu il maestro di Demostene
IROKO,Legno africano per parquet
IRE,Moti di collera
IRE,Brevissimo verbo
IRE,Ribollimenti interiori
MARTINETTI,Sollevano grossi pesi
COLORANTE,Si usa per cambiare tinta
LAICATO,Tutti i non ecclesiastici
PESCARA,Vi nacque D'Annunzio
NITIDA,Tutt'altro che sfuocata
PIUMA,Un peso del pugilato
WEST SIDE STORY,Famoso musical di Bernstein
WATTORA,Un'unità di energia elettrica
ROZZI,Tutt'altro che raffinati
VOLGARI,Per niente raffinati
BECERI,"Triviali, pecorecci"
SALACI,"Pungenti, sboccati"
VITTIMA,Muore nell'incidente
CANCÚN,Una località turistico-balneare del Messico
RISONE,Un cereale ancora greggio
PROSOPAGNOSIA,La incapacità di riconoscere le persone dai volti
SPASMO,Contrazione come un crampo
BLUETOOTH,Una tecnologia per trasmettere dati senza fili
CONTAGIARE,Infettare per epidemia
CONTAGIARE,Diffondere malattie
CONTAGIARE,Infettare qualcuno toccandolo 
LIBRI,Sono utili per trasmettere la conoscenza
CRONICA,Detto di malattia che non passa mai
TARMA,Una mangialana
CONDANNARE,Comminare una pena
CONDANNARE,Giudicare colpevole l'imputato
CONDANNARE,Il contrario di assolvere
CONCIMARE,Fertilizzare il terreno
CELARE,Tenere segreto
ALLETTARE,Attirare con lusinghe
CRONOFARMACOLOGIA,Studia le medicine e gli orari di somministrazione
CREPUSCOLARISMO,È tipico della poesia di Gozzano
TASK,La force per operazioni navali
COPPIE,Si formano in sala da ballo
MAO,Lo storico Tse-tung
ANTRI,"Spelonche, grotte"
BEAUTY FARM,Istituto per cure estetiche
COPIATRICE,Una macchina con il toner
BEATITUDINE,Una felicità completa
TUFO,La pietra usata per molte case del Centro Italia
CARTONNAGE,Tecnica per eseguire artistiche rilegature
PENOSAMENTE,Con dolore e difficoltà
SUONARE,Eseguire con l'orchestra
FALCIACARICATRICE,Una macchina che taglia il foraggio e se lo porta via
PIETRA DI PARAGONE,Elemento di confronto
TREDICESIMA,Uno stipendio in più
BUONAMANO,Mancia data in aggiunta
FIP,La Federazione del basket
ETIOPIA,Ha combattuto contro l'Eritrea
FERMAT,"Pierre de __, matematico e magistrato del '600"
GIANSENISMO,Movimento religioso seguito da Pascal
DUNANT,Ideò la Croce Rossa
MEIS,Il cognome assunto dal pirandelliano Mattia Pascal
MOHS,Lo scienziato che ideò la scala della durezza dei minerali
FALSO AMICO,"Parola straniera somigliante a una italiana, ma con diverso significato"
BILIARDO,Si gioca al bar su un tavolo verde
GUELFI,A Firenze si dividevano in bianchi e neri
INTONATO,Dotato di... orecchio
RODEO,Lo spettacolo con i cowboy
GAD,Il nome del giornalista Lerner
AIDA,L'opera con Ramfis
CORTA,Lo è la memoria di chi non vuol ricordare
COMPLESSO MEGALITICO,Un sito come Stonehenge
COLATE,Getti di materia rovente
COLATE,Operazioni del fonditore
COLATE,Si fanno nelle fonderie
REGOLI CALCOLATORI,Servivano per eseguire operazioni complesse
CROGIOLI,Recipienti usati dai fonditori
CUCITO,Ne è esperta la sartina
INEFFICIENZA,È causa di scarso o nessun rendimento
FASANO,Centro del Brindisino noto per lo Zoosafari
FETIDO,Disgustoso per l'odorato
CINCIALLEGRA,Un graziosissimo uccello
CAVEZZA DI MORO,Particolare mantello grigio dei cavalli
BANCA D'ITALIA,Ha la sede a Palazzo Koch
CENOTAFI,Monumenti sepolcrali vuoti
CELIMONTANA,"Villa __, uno dei più grandi parchi pubblici di Roma"
CEIRANO,Antica Casa di automobili
CAVILLARE,Un verbo da avvocati
ESILI,Si dice di quelle argomentazioni poco convincenti
ESPIATI,Scontati con un castigo
CAVERNE,Vi abitavano gli uomini primitivi
CAVERNE,Le prime dimore umane
CAVERNE,Le case dei trogloditi
CAVERNA,"Spelonca, antro"
ACIDO,Non intacca l'oro
HIJAB,Velo tradizionale delle donne islamiche
FRAZIONISTA,Un atleta della staffetta
PUGILE,"Se è groggy, è finito"
TESTA O CROCE,La domanda che aiuta a scegliere fra due possibilità
ASTA,Aiuta un saltatore
